id,symbol,date,open,high,low,close,adj_close,volume,created_at,dividends,stock_splits,capital_gains
1264,XLI,2025-10-21,153.82,155.65,153.72,154.88,154.88,11589400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1271,XLI,2025-10-22,155.22,155.46,152.41,152.87,152.87,13612300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1278,XLI,2025-10-23,153.2,155.01,153.2,154.78,154.78,8035200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1285,XLI,2025-10-24,156.0,156.035,154.84,154.91,154.91,7494167,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2157,XLV,2025-07-25,135.6297,136.0777,135.1221,135.8587,135.8587,9539900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2158,XLV,2025-07-28,135.5202,135.7691,134.3157,134.6741,134.6741,9780300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2159,XLV,2025-07-29,133.2904,134.485,132.3348,133.818,133.818,14967600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2160,XLV,2025-07-30,134.266,134.5746,133.0316,133.5791,133.5791,11634600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2161,XLV,2025-07-31,132.4144,133.1809,129.3883,129.8362,129.8362,26441600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2162,XLV,2025-08-01,130.105,130.8018,129.2688,130.5331,130.5331,20736200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2163,XLV,2025-08-04,130.7919,132.4642,130.762,132.4045,132.4045,11331000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2164,XLV,2025-08-05,131.847,132.3448,131.4389,131.8968,131.8968,14319200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2165,XLV,2025-08-06,131.3394,131.4489,129.7566,129.9159,129.9159,14342800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2166,XLV,2025-08-07,129.1792,129.6471,127.3775,128.4227,128.4227,24421900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2167,XLV,2025-08-08,128.6417,129.8462,128.6417,129.5675,129.5675,13747100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2168,XLV,2025-08-11,129.6969,130.7222,129.5475,129.6969,129.6969,14474000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2169,XLV,2025-08-12,129.7466,130.6326,129.5376,130.5928,130.5928,17219500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2170,XLV,2025-08-13,131.2199,132.7628,131.0507,132.6832,132.6832,15069900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2171,XLV,2025-08-14,132.4542,133.4895,131.8072,133.3502,133.3502,15464000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2172,XLV,2025-08-15,134.8632,135.9781,134.5646,135.5899,135.5899,13929600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2173,XLV,2025-08-18,135.9085,136.5655,135.2017,135.2714,135.2714,12572000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2174,XLV,2025-08-19,135.2515,136.5953,135.1619,136.1374,136.1374,13578200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2175,XLV,2025-08-20,136.3863,137.5808,136.3863,136.874,136.874,14607000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2176,XLV,2025-08-21,136.5854,137.8297,136.3166,136.4161,136.4161,13218900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2177,XLV,2025-08-22,137.1727,138.3871,137.1727,137.541,137.541,11898600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2178,XLV,2025-08-25,137.5111,137.6306,135.4804,135.58,135.58,10681000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2179,XLV,2025-08-26,135.9682,136.5455,135.7193,136.4261,136.4261,11397500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2180,XLV,2025-08-27,136.3664,137.0831,136.1075,136.3465,136.3465,8321700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
